Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     272.853113       0.929081       28.121484       34.012690       180.447693   
  1     126.932103       2.602500       15.035460       14.726445       80.258926    
  2     70.001592        2.016572        8.815074       23.665495       58.430073    
  3     59.005716        2.397091        8.057954       14.883907       55.488670    
  4     67.956355        3.459773        9.909431        6.323744       62.259056    
  5     64.353553        3.324384        9.427301        4.742837       67.015343    
  6     68.132119        3.397985        9.871398        4.143160       68.989845    
  7     67.715694        3.421924        9.851301        3.856058       66.599907    
  8     63.992355        3.353120        9.417043        4.193445       60.084087    
  9     59.327580        3.102588        8.725087        5.839809       55.021103    
 10     60.672783        2.950192        8.722451        7.768680       52.449085    
 11     56.383323        2.724587        8.090460        9.145726       53.391319    
 12     56.751388        2.634207        8.045925        9.840674       53.431683    
 13     56.105271        2.587207        7.939013        9.914455       54.398514    
 14     57.051647        2.625293        8.067929        9.872061       54.342545    
 15     56.414844        2.632649        8.010868        9.726053       54.552658    
 16     56.193494        2.707955        8.056509        9.493613       54.392963    
 17     56.464959        2.827602        8.191338        9.082257       54.682682    
 18     56.310887        2.891179        8.233149        8.854846       54.669079    
 19     56.475335        2.837149        8.200968       11.272647       55.648487    
 20     58.201624        2.732857        8.279734       16.302325       59.099621    
 21     60.505266        2.805938        8.575870       14.580217       59.084370    
 22     58.875073        2.882117        8.481413       10.979519       59.513542    
 23     57.517654        2.930456        8.389176       10.322237       58.077869    
 24     56.576689        2.939345        8.303079       11.041747       55.795490    
 25     56.525098        2.934743        8.293778       12.538026       55.764133    
 26     56.658242        2.957710        8.327763       13.117977       55.311375    
 27     56.544948        2.984642        8.340673       14.052398       58.252113    
 28     57.025426        3.011319        8.412730       12.892201       59.875023    
 29     64.041554        3.602701        9.646587        8.961554       70.160080    
 30     64.516306        3.699047        9.780773        9.832307       61.205570    
 31     60.824293        3.608860        9.330404       11.205827       55.405651    
 32     60.450581        3.485824        9.182300       14.271735       53.644203    
 33     61.262226        3.354560        9.145326       19.105002       53.753727    
 34     60.176856        3.523901        9.189197       20.347452       57.147282    
 35     58.606937        3.481419        8.993971       19.450263       58.652283    
 36     57.373562        3.503012        8.890067       17.600737       54.928314    
 37     57.478532        3.452838        8.855407       18.113185       59.411880    
 38     55.267454        3.597967        8.764916       14.156684       52.312237    
 39     53.933514        3.537822        8.577392       12.280781       53.139660    
 40     53.192090        3.523288        8.490168       11.273976       59.044117    
 41     51.289718        3.441423        8.226253       12.106194       53.307930    
 42     48.927578        3.278644        7.843537       13.982848       63.131599    
 43     47.893785        2.961939        7.455124       17.403665       48.257275    
 44     43.573598        2.699414        6.786833       18.125358       43.910755    
 45     42.015591        2.626285        6.565215       20.900914       42.410110    
 46     40.137544        2.578400        6.334314       18.728495       43.180794    
 47     39.771217        2.461916        6.192846       19.276495       41.597420    
 48     39.492321        2.396795        6.106347       21.049363       41.931355    
 49     39.579001        2.294020        6.022518       23.404665       41.481602    
 50     39.786635        2.293159        6.042507       26.566875       41.207333    
 51     39.405422        2.301081        6.011515       22.587409       42.060352    
 52     39.520044        2.294647        6.017187       23.522424       40.476986    
 53     39.571309        2.378237        6.097545       21.689346       41.833435    
 54     39.400186        2.291472        6.002344       21.479858       41.111546    
 55     39.326132        2.407290        6.099174       18.947222       40.562302    
 56     39.901981        2.564398        6.298156       17.331372       43.757198    
 57     40.309123        2.506263        6.286549       17.343172       43.526920    
 58     41.219728        2.532040        6.400809       17.954830       43.415886    
 59     42.041150        2.536211        6.486705       20.045978       43.607803    
 60     42.332957        2.552340        6.530401       20.221924       45.548573    
 61     42.615528        2.413616        6.433807       21.353282       42.795208    
 62     41.613232        2.405797        6.326541       21.457402       43.440735    
 63     41.058168        2.434440        6.296813       20.046796       42.277126    
 64     40.838829        2.441908        6.281600       19.460031       41.931236    
 65     40.697917        2.469558        6.292394       18.947617       41.737484    
 66     40.514993        2.491483        6.293834       18.414130       41.976357    
