Epoch  G MSE train        G BCE          G train          D BCE         G MSE test   
=====================================================================================
  0     264.081356       0.705763       264.081356      37.119911       68.690895    
  1     36.335951        1.029808       36.335951       36.871163       24.202415    
  2     22.229276        0.764989       22.229276       37.114944       22.431749    
  3     21.150635        0.952198       21.150635       29.262925       22.115023    
  4     22.474805        1.248966       22.474805       20.875404       21.693951    
  5     21.019940        1.615656       21.019940       15.729802       21.850296    
  6     21.417958        1.941616       21.417958       12.142636       23.040653    
  7     20.777588        2.256737       20.777588        9.802528       22.077501    
  8     20.661198        2.540159       20.661198        8.049162       21.511999    
  9     21.426621        2.851889       21.426621        6.414620       28.771822    
 10     20.392645        3.134309       20.392645        6.176255       20.767241    
 11     19.509803        3.388659       19.509803        4.391951       20.993675    
 12     21.770572        3.621771       21.770572        3.995749       20.062168    
 13     18.770024        3.901976       18.770024        3.458131       20.070679    
 14     20.576120        4.005016       20.576120        3.535148       18.762571    
 15     17.891998        4.118286       17.891998        3.634537       20.846333    
 16     19.386225        3.856089       19.386225        5.176142       17.689465    
 17     17.001511        3.936027       17.001511        4.014527       19.390837    
 18     17.685000        3.837365       17.685000        3.847402       17.069275    
 19     15.907108        3.977515       15.907108        3.240412       17.033857    
 20     17.610003        3.994448       17.610003        2.856710       16.458460    
 21     15.847502        4.105842       15.847502        2.590691       16.219902    
 22     15.566582        4.278243       15.566582        2.138665       20.037209    
 23     16.973126        4.145430       16.973126        2.279267       15.516747    
 24     14.677157        4.289471       14.677157        2.155761       16.138140    
 25     15.411046        4.439711       15.411046        1.817317       15.515162    
 26     14.328494        4.572189       14.328494        1.606322       15.184093    
 27     17.488021        4.739329       17.488021        1.391533       25.586533    
 28     15.910140        4.435268       15.910140        1.910915       15.316436    
 29     14.385589        4.655911       14.385589        1.691577       15.354138    
 30     14.197359        4.909185       14.197359        1.344969       15.507750    
 31     14.099269        5.100279       14.099269        1.068652       14.855044    
 32     14.962851        5.250783       14.962851        0.936194       21.311483    
 33     15.672719        4.878222       15.672719        1.308435       14.761277    
 34     13.864105        5.117281       13.864105        1.100927       15.182847    
 35     14.521316        5.145852       14.521316        1.145594       14.986318    
 36     13.950582        5.289587       13.950582        1.075927       16.247911    
 37     16.183447        5.222381       16.183447        1.347103       14.631598    
 38     13.937051        5.418871       13.937051       46.146493       16.252464    
 39     15.490184        4.246244       15.490184        2.933323       14.680692    
 40     13.620284        4.315251       13.620284        2.133032       14.707017    
 41     14.084259        4.324995       14.084259        1.910605       14.913048    
 42     17.158823        4.372680       17.158823        1.727034       25.696833    
 43     15.521376        4.336640       15.521376        1.824732       15.633872    
 44     13.922683        4.513255       13.922683        1.493328       15.150472    
 45     13.696652        4.681922       13.696652        1.305361       15.026299    
 46     13.546316        4.648094       13.546316        1.309639       14.417351    
 47     13.870978        4.726393       13.870978        1.194097       17.196497    
 48     15.759928        4.638043       15.759928        1.387363       14.406476    
 49     13.888609        4.851948       13.888609        1.067821       16.835777    
 50     14.934643        4.801005       14.934643        1.215268       14.444672    
 51     13.670021        4.966846       13.670021        0.979849       15.944964    
 52     14.920555        4.936386       14.920555        1.096782       14.472652    
 53     13.526356        5.079615       13.526356        0.901129       15.390001    
 54     14.982598        5.067339       14.982598        0.987246       14.508036    
 55     13.347841        5.192164       13.347841        0.835853       14.437982    
 56     13.598867        5.256395       13.598867        0.807818       14.504048    
 57     17.992363        5.169443       17.992363        0.883235       15.646667    
 58     14.052810        5.379883       14.052810        0.763975       16.134769    
 59     13.485109        5.418963       13.485109        0.733219       14.439820    
 60     13.526388        5.485295       13.526388        0.660694       15.664479    
 61     14.325722        5.457482       14.325722        0.761806       14.343788    
 62     14.383055        5.568860       14.383055        0.633919       20.667828    
 63     14.804333        5.506501       14.804333        0.743633       14.176317    
 64     14.284638        5.678726       14.284638        0.578641       19.038849    
 65     14.060943        5.649367       14.060943        0.663038       14.102514    
 66     14.803109        5.786592       14.803109        0.538526       20.579439    
 67     13.816813        5.775442       13.816813        0.588655       14.167298    
 68     14.106049        5.893954       14.106049        0.491224       18.551456    
 69     14.019246        5.852482       14.019246        0.578700       14.059632    
 70     14.967619        5.984972       14.967619        0.470801       20.959696    
 71     13.816236        5.969567       13.816236        0.513223       14.434182    
 72     13.571084        6.090787       13.571084        0.420591       16.262037    
 73     13.804467        6.069162       13.804467        0.496775       14.061824    
 74     15.582794        6.176172       15.582794        0.421366       22.388597    
 75     14.262726        6.148578       14.262726        0.464147       15.578974    
 76     13.420048        6.266651       13.420048        0.384810       14.987679    
 77     13.245245        6.313228       13.245245        0.360621       14.610267    
 78     13.129734        6.357298       13.129734        0.344176       14.164951    
 79     13.414026        6.403593       13.414026        0.324931       16.846106    
 80     15.537545        6.331603       15.537545        0.431702       14.017671    
 81     15.210593        6.506972       15.210593        0.334138       22.290659    
 82     14.031071        6.475297       14.031071        0.365237       15.144425    
 83     13.337218        6.579228       13.337218        0.297159       15.093070    
